_id,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height
039501.jpg1,0.666744947,0.0166056417,0.282973945,0.002593532,0.004424893,0.003989472,0.00454085972,0.0181267187,154,244,103,154
039751.jpg1,0.348431855,0.03879766,0.000599575,0.6013081,0.00012596669,0.000625420944,0.009828173,0.0002832775,117,308,111,117
040001.jpg1,0.0871414244,0.0435597226,0.00208727643,0.8446516,0.00414805673,0.0180696528,0.0000648434943,0.000277458137,79,324,163,79
040251.jpg1,0.5242543,0.00542165572,0.00188679621,0.433209121,0.0009899894,0.00363713084,0.0271798819,0.00342108519,117,287,104,117
040501.jpg1,0.272529364,0.09049279,0.0005081029,0.5996667,0.008039846,0.0141078532,0.0114982212,0.00315713254,117,245,99,117
040751.jpg1,0.13535966,0.0504057929,0.00140792574,0.7998366,0.00167837052,0.00595463766,0.00170429389,0.003652735,118,275,83,118
041001.jpg1,0.2811718,0.17467463,0.0114626819,0.0233374629,0.467586428,0.0109038875,0.0296363067,0.0012268055,131,118,105,131
041001.jpg2,0.5040926,0.12461409,0.0005243615,0.322184443,0.0142035186,0.02110445,0.0114740934,0.00180248509,120,400,100,120
041251.jpg1,0.8846695,0.0120710731,0.004353858,0.003986753,0.0236086268,0.06590322,0.00365872588,0.00174828176,134,83,81,134
041251.jpg2,0.91546607,0.00109408377,0.00719405,0.00575378537,0.00038877796,0.05832532,0.01011087,0.00166703481,116,393,82,116
