_id,ID,scores/scores/neutral,scores/scores/surprise,scores/scores/anger,scores/scores/happiness,scores/scores/fear,scores/scores/sadness,scores/scores/contempt,scores/scores/disgust,scores/faceRectangle/width,scores/faceRectangle/left,scores/faceRectangle/top,scores/faceRectangle/height,id,Who?
028501.jpg1,028501.jpg,0.9376575,0.023520181,0.006536316,0.005916162,0.014573989,0.009342361,0.00182677,0.000626725,139,216,95,139,028501.jpg4,male
028751.jpg1,028751.jpg,0.9293371,0.006194062,0.019374885,0.014401763,0.000477678,0.003248496,0.021343699,0.005622305,140,257,101,140,028751.jpg5,male
029001.jpg1,029001.jpg,0.898631334,6.77E-05,3.70E-06,5.10E-05,1.13E-05,0.100623839,0.000607436,3.64E-06,101,429,118,101,029001.jpg9,female
029251.jpg1,029251.jpg,0.664689243,0.194666535,0.002202921,0.07921504,0.006541633,0.023199203,0.026674911,0.002810501,133,120,138,133,029251.jpg2,male
029251.jpg2,029251.jpg,0.8736548,0.000940226,7.89E-05,0.05330706,0.000730273,0.07013331,0.001075422,8.01E-05,91,372,100,91,029251.jpg7,male
029501.jpg1,029501.jpg,0.728466,0.2544334,0.012495758,0.00282921,6.33E-05,7.69E-05,0.000701312,0.000934096,130,86,127,130,029501.jpg2,male
029501.jpg2,029501.jpg,0.8315599,0.001579875,0.00036996,0.023643795,0.001131974,0.1364065,0.004590545,0.00071745,89,380,101,89,029501.jpg8,male
029751.jpg1,029751.jpg,0.889940262,0.014226684,0.036644507,0.024615686,0.001260919,0.00892347,0.0071605,0.017227953,141,147,76,141,029751.jpg3,male
029751.jpg2,029751.jpg,0.949510455,0.001343101,4.86E-05,0.033126984,0.000259369,0.015429253,0.000257321,2.49E-05,86,381,102,86,029751.jpg8,male
030001.jpg1,030001.jpg,0.8683627,0.001059185,0.001298958,0.08269456,0.000792075,0.032175094,0.011079742,0.002537641,142,226,85,142,030001.jpg5,male
030251.jpg1,030251.jpg,0.7532741,0.008532238,0.122993946,0.00389415,0.000388335,0.00328371,0.009228233,0.098405294,146,213,105,146,030251.jpg4,male
030501.jpg1,030501.jpg,0.86782515,0.030470282,0.039265685,0.009736918,0.001186182,0.016332945,0.015804065,0.019378787,142,239,102,142,030501.jpg5,male
030751.jpg1,030751.jpg,0.929319859,0.00144417,0.001936316,0.025910284,0.000619251,0.029368375,0.009075757,0.002326017,140,259,85,140,030751.jpg5,male
031001.jpg1,031001.jpg,0.479206949,0.205431834,0.282110751,0.001893845,0.001158413,0.000279634,0.00308186,0.026836721,139,253,100,139,031001.jpg5,male
031501.jpg1,031501.jpg,0.9409681,0.000638742,0.009423789,0.005514479,1.47E-05,0.0108188,0.029912204,0.002709179,116,93,141,116,031501.jpg2,male
